TradingDate,VIC,YEG
2015-09-09,22635.0,
2015-09-10,22905.0,
2015-09-11,22689.0,
2015-09-14,22581.0,
2015-09-15,22527.0,
2015-09-16,22527.0,
2015-09-17,22689.0,
2015-09-18,22689.0,
2015-09-21,23175.0,
2015-09-22,23121.0,
2015-09-23,22959.0,
2015-09-24,22905.0,
2015-09-25,22743.0,
2015-09-28,22689.0,
2015-09-29,22473.0,
2015-09-30,22527.0,
2015-10-01,22473.0,
2015-10-02,22473.0,
2015-10-05,22473.0,
2015-10-06,22743.0,
2015-10-07,22959.0,
2015-10-08,23500.0,
2015-10-09,23391.0,
2015-10-12,23337.0,
2015-10-13,23121.0,
2015-10-14,22959.0,
2015-10-15,22959.0,
2015-10-16,23121.0,
2015-10-19,23067.0,
2015-10-20,22797.0,
2015-10-21,22527.0,
2015-10-22,22959.0,
2015-10-23,23986.0,
2015-10-26,24040.0,
2015-10-27,23986.0,
2015-10-28,23986.0,
2015-10-29,24850.0,
2015-10-30,24580.0,
2015-11-02,24310.0,
2015-11-03,24850.0,
2015-11-04,24634.0,
2015-11-05,24580.0,
2015-11-06,24364.0,
2015-11-09,24364.0,
2015-11-10,24040.0,
2015-11-11,23824.0,
2015-11-12,23608.0,
2015-11-13,23932.0,
2015-11-16,23445.0,
2015-11-17,23445.0,
2015-11-18,23608.0,
2015-11-19,23445.0,
2015-11-20,23608.0,
2015-11-23,23608.0,
2015-11-24,23445.0,
2015-11-25,23445.0,
2015-11-26,23337.0,
2015-11-27,23013.0,
2015-11-30,23121.0,
2015-12-01,23121.0,
2015-12-02,23013.0,
2015-12-03,23121.0,
2015-12-04,22851.0,
2015-12-07,22851.0,
2015-12-08,22905.0,
2015-12-09,22581.0,
2015-12-10,22311.0,
2015-12-11,22419.0,
2015-12-14,22311.0,
2015-12-15,22419.0,
2015-12-16,22527.0,
2015-12-17,22635.0,
2015-12-18,21609.0,
2015-12-21,22419.0,
2015-12-22,22473.0,
2015-12-23,22527.0,
2015-12-24,22689.0,
2015-12-25,22905.0,
2015-12-28,23500.0,
2015-12-29,24580.0,
2015-12-30,24850.0,
2015-12-31,24688.0,
2016-01-04,25660.0,
2016-01-05,25660.0,
2016-01-06,25660.0,
2016-01-07,25930.0,
2016-01-08,25930.0,
2016-01-11,26093.0,
2016-01-12,25930.0,
2016-01-13,25876.0,
2016-01-14,25930.0,
2016-01-15,25660.0,
2016-01-18,25660.0,
2016-01-19,25660.0,
2016-01-20,25606.0,
2016-01-21,25822.0,
2016-01-22,26093.0,
2016-01-25,26093.0,
2016-01-26,25930.0,
2016-01-27,25660.0,
2016-01-28,26093.0,
2016-01-29,25714.0,
2016-02-01,25390.0,
2016-02-02,25390.0,
2016-02-03,25390.0,
2016-02-04,25390.0,
2016-02-05,25174.0,
2016-02-15,24580.0,
2016-02-16,24634.0,
2016-02-17,24580.0,
2016-02-18,24850.0,
2016-02-19,24364.0,
2016-02-22,24418.0,
2016-02-23,24634.0,
2016-02-24,24526.0,
2016-02-25,24580.0,
2016-02-26,24310.0,
2016-02-29,23824.0,
2016-03-01,23824.0,
2016-03-02,24310.0,
2016-03-03,24526.0,
2016-03-04,24742.0,
2016-03-07,24742.0,
